strategy,tool,suite,capped,category,pnl
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,SLEEP_POD,10326.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,TRANSLATOR,13074.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,SNACKPACK,3375.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,PANEL,14505.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,MICROCHIP,15257.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,UV_VISOR,12763.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,ROBOT,5202.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,False,PEBBLES,21334.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,GALAXY_SOUNDS,16553.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,SLEEP_POD,10326.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,TRANSLATOR,13074.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,SNACKPACK,3375.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,PANEL,14505.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,MICROCHIP,15257.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,UV_VISOR,12763.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,ROBOT,5202.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,OXYGEN_SHAKE,9230.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,kevin,portal,True,PEBBLES,21334.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,MICROCHIP,15257.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,PANEL,14505.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,PEBBLES,21334.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,ROBOT,5202.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,SLEEP_POD,10326.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,SNACKPACK,3385.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,TRANSLATOR,13074.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,False,UV_VISOR,12763.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,GALAXY_SOUNDS,16553.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,MICROCHIP,15257.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,OXYGEN_SHAKE,9230.5
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,PANEL,14505.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,PEBBLES,21334.0
probe_branch_portal_vanilla_micro_uv_robot_pair.py,xeeshan,portal,True,ROBOT,5202.5
