strategy,tool,suite,capped,category,pnl
round5_candidate_35.py,kevin,portal,False,GALAXY_SOUNDS,14332.5
round5_candidate_35.py,kevin,portal,False,SLEEP_POD,8443.0
round5_candidate_35.py,kevin,portal,False,TRANSLATOR,5437.0
round5_candidate_35.py,kevin,portal,False,SNACKPACK,0.0
round5_candidate_35.py,kevin,portal,False,PANEL,12737.0
round5_candidate_35.py,kevin,portal,False,MICROCHIP,11168.0
round5_candidate_35.py,kevin,portal,False,UV_VISOR,7876.0
round5_candidate_35.py,kevin,portal,False,ROBOT,2524.0
round5_candidate_35.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_35.py,kevin,portal,False,PEBBLES,20164.0
round5_candidate_35.py,kevin,portal,True,GALAXY_SOUNDS,14332.5
round5_candidate_35.py,kevin,portal,True,SLEEP_POD,8443.0
round5_candidate_35.py,kevin,portal,True,TRANSLATOR,5437.0
round5_candidate_35.py,kevin,portal,True,SNACKPACK,0.0
round5_candidate_35.py,kevin,portal,True,PANEL,12737.0
round5_candidate_35.py,kevin,portal,True,MICROCHIP,11168.0
round5_candidate_35.py,kevin,portal,True,UV_VISOR,7876.0
round5_candidate_35.py,kevin,portal,True,ROBOT,2524.0
round5_candidate_35.py,kevin,portal,True,OXYGEN_SHAKE,9230.5
round5_candidate_35.py,kevin,portal,True,PEBBLES,20164.0
round5_candidate_35.py,xeeshan,portal,False,GALAXY_SOUNDS,14332.5
round5_candidate_35.py,xeeshan,portal,False,MICROCHIP,11168.0
round5_candidate_35.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_35.py,xeeshan,portal,False,PANEL,12737.0
round5_candidate_35.py,xeeshan,portal,False,PEBBLES,20164.0
round5_candidate_35.py,xeeshan,portal,False,ROBOT,2524.0
round5_candidate_35.py,xeeshan,portal,False,SLEEP_POD,8443.0
round5_candidate_35.py,xeeshan,portal,False,SNACKPACK,0.0
round5_candidate_35.py,xeeshan,portal,False,TRANSLATOR,5437.0
round5_candidate_35.py,xeeshan,portal,False,UV_VISOR,7876.0
round5_candidate_35.py,xeeshan,portal,True,GALAXY_SOUNDS,14332.5
round5_candidate_35.py,xeeshan,portal,True,MICROCHIP,11168.0
round5_candidate_35.py,xeeshan,portal,True,OXYGEN_SHAKE,9230.5
round5_candidate_35.py,xeeshan,portal,True,PANEL,12737.0
round5_candidate_35.py,xeeshan,portal,True,PEBBLES,20164.0
round5_candidate_35.py,xeeshan,portal,True,ROBOT,2524.0
round5_candidate_35.py,xeeshan,portal,True,SLEEP_POD,8443.0
round5_candidate_35.py,xeeshan,portal,True,SNACKPACK,0.0
round5_candidate_35.py,xeeshan,portal,True,TRANSLATOR,5437.0
round5_candidate_35.py,xeeshan,portal,True,UV_VISOR,7876.0
round5_candidate_36.py,kevin,portal,False,GALAXY_SOUNDS,4199.0
round5_candidate_36.py,kevin,portal,False,SLEEP_POD,11137.0
round5_candidate_36.py,kevin,portal,False,TRANSLATOR,14955.0
round5_candidate_36.py,kevin,portal,False,SNACKPACK,0.0
round5_candidate_36.py,kevin,portal,False,PANEL,19403.0
round5_candidate_36.py,kevin,portal,False,MICROCHIP,13251.5
round5_candidate_36.py,kevin,portal,False,UV_VISOR,8360.0
round5_candidate_36.py,kevin,portal,False,ROBOT,10183.0
round5_candidate_36.py,kevin,portal,False,OXYGEN_SHAKE,2638.5
round5_candidate_36.py,kevin,portal,False,PEBBLES,21419.0
round5_candidate_36.py,kevin,portal,True,GALAXY_SOUNDS,4199.0
round5_candidate_36.py,kevin,portal,True,SLEEP_POD,11137.0
round5_candidate_36.py,kevin,portal,True,TRANSLATOR,14955.0
round5_candidate_36.py,kevin,portal,True,SNACKPACK,0.0
round5_candidate_36.py,kevin,portal,True,PANEL,19403.0
round5_candidate_36.py,kevin,portal,True,MICROCHIP,13251.5
round5_candidate_36.py,kevin,portal,True,UV_VISOR,8360.0
round5_candidate_36.py,kevin,portal,True,ROBOT,10183.0
round5_candidate_36.py,kevin,portal,True,OXYGEN_SHAKE,2638.5
round5_candidate_36.py,kevin,portal,True,PEBBLES,21419.0
round5_candidate_36.py,xeeshan,portal,False,GALAXY_SOUNDS,4199.0
round5_candidate_36.py,xeeshan,portal,False,MICROCHIP,13251.5
round5_candidate_36.py,xeeshan,portal,False,OXYGEN_SHAKE,2638.5
round5_candidate_36.py,xeeshan,portal,False,PANEL,19403.0
round5_candidate_36.py,xeeshan,portal,False,PEBBLES,21419.0
round5_candidate_36.py,xeeshan,portal,False,ROBOT,10183.0
round5_candidate_36.py,xeeshan,portal,False,SLEEP_POD,11137.0
round5_candidate_36.py,xeeshan,portal,False,SNACKPACK,0.0
round5_candidate_36.py,xeeshan,portal,False,TRANSLATOR,14955.0
round5_candidate_36.py,xeeshan,portal,False,UV_VISOR,8360.0
round5_candidate_36.py,xeeshan,portal,True,GALAXY_SOUNDS,4199.0
round5_candidate_36.py,xeeshan,portal,True,MICROCHIP,13251.5
round5_candidate_36.py,xeeshan,portal,True,OXYGEN_SHAKE,2638.5
round5_candidate_36.py,xeeshan,portal,True,PANEL,19403.0
round5_candidate_36.py,xeeshan,portal,True,PEBBLES,21419.0
round5_candidate_36.py,xeeshan,portal,True,ROBOT,10183.0
round5_candidate_36.py,xeeshan,portal,True,SLEEP_POD,11137.0
round5_candidate_36.py,xeeshan,portal,True,SNACKPACK,0.0
round5_candidate_36.py,xeeshan,portal,True,TRANSLATOR,14955.0
round5_candidate_36.py,xeeshan,portal,True,UV_VISOR,8360.0
