strategy,tool,suite,capped,category,pnl
probe_c35_stack_anchor_microtri_only.py,kevin,portal,True,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_microtri_only.py,kevin,portal,True,PEBBLES,20164.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,MICROCHIP,15344.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,PANEL,14505.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,PEBBLES,20164.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,ROBOT,3882.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,SLEEP_POD,10326.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,SNACKPACK,3020.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,TRANSLATOR,13074.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,UV_VISOR,7876.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,MICROCHIP,15344.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,PANEL,14505.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,PEBBLES,20164.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,ROBOT,3882.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,SLEEP_POD,10326.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,SNACKPACK,3020.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,TRANSLATOR,13074.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,UV_VISOR,7876.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,SLEEP_POD,10326.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,TRANSLATOR,13074.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,SNACKPACK,3020.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,PANEL,14505.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,MICROCHIP,11168.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,UV_VISOR,12757.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,ROBOT,3882.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,PEBBLES,20164.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,SLEEP_POD,10326.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,TRANSLATOR,13074.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,SNACKPACK,3020.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,PANEL,14505.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,MICROCHIP,11168.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,UV_VISOR,12757.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,ROBOT,3882.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,PEBBLES,20164.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,MICROCHIP,11168.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,PANEL,14505.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,PEBBLES,20164.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,ROBOT,3882.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,SLEEP_POD,10326.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,SNACKPACK,3020.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,TRANSLATOR,13074.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,UV_VISOR,12757.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,GALAXY_SOUNDS,16553.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,MICROCHIP,11168.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,OXYGEN_SHAKE,9230.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,PANEL,14505.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,PEBBLES,20164.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,ROBOT,3882.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,SLEEP_POD,10326.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,SNACKPACK,3020.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,TRANSLATOR,13074.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,UV_VISOR,12757.0
